Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Disney Wilderness Preserve,Tower,28.12829888,-81.43518174,4/25/2019,4/25/2019,Broadcast,10,10,,Rural,"[""TNC""]",Florida,Low
Weaver Dunes,Burmeister W,44.2488,-91.9333,4/25/2019,4/25/2019,Broadcast,30,30,,Rural,"[""TNC""]",Minnesota,Low
Barneveld State Natural Area,Patch-Burn/Graze 1,42.991,-89.9037,4/25/2019,4/25/2019,Broadcast,120,120,,Rural,"[""TNC""]",Wisconsin,Medium
Broxton Rocks,"8,9,10,11,22",31.74463864,-82.86821523,4/25/2019,4/25/2019,Broadcast,317,317,,Rural,"[""TNC""]",Georgia,Medium
Broken Kettle Grasslands,The Knob,42.69456195,-96.57209547,4/26/2019,4/26/2019,Broadcast,3,3,,Rural,"[""TNC""]",Iowa,Medium
Yellow Birch Wetlands,South,41.74020737,-86.55551802,4/26/2019,4/26/2019,Broadcast,12,8,,Rural,"[""TNC""]",Indiana,Low
Pigeon Point,Farm Yard Prairie,46.49427031,-97.38766232,4/26/2019,4/26/2019,Broadcast,30,30,,Rural,"[""TNC""]",North Dakota,Medium
Spring Prairie,Southwest,46.924,-96.4692,4/26/2019,4/26/2019,Broadcast,144,144,,Rural,"[""TNC""]",Minnesota,Low
John E. Williams Preserve,Elbow,47.5304,-100.7906,4/26/2019,4/26/2019,Broadcast,175,175,,Rural,"[""TNC""]",North Dakota,Low
Regal Meadow,Gustafson,45.3794,-94.8289,4/27/2019,4/27/2019,Broadcast,15,15,,Rural,"[""TNC""]",Minnesota,Low
Albany Pine Bush Preserve,Cathedral,42.71877894,-73.86437156,4/29/2019,4/29/2019,Broadcast,42.1,6.1,,Urban,"[""Other (NGO partner, Fire Department etc)""]",New York,Medium
Mike's Pond,MP 3,30.55090149,-88.75687966,4/29/2019,4/29/2019,Broadcast,73,73,,Rural,"[""TNC""]",Mississippi,Low
Tiger Creek Preserve,CEHI,27.82418719,-81.47689555,4/29/2019,4/29/2019,Broadcast,136,136,,Rural,"[""TNC""]",Florida,Low
Mike's Pond,"MP 1,2",30.54697508,-88.75534728,4/30/2019,4/30/2019,Broadcast,39,39,,Rural,"[""TNC""]",Mississippi,Low
Ohoopee Dunes Preserve,"1, 3",32.52182129,-82.44112757,4/30/2019,4/30/2019,Broadcast,207,207,,Rural,"[""TNC""]",Georgia,Medium
Apalachicola Bluffs and Ravines Preserve,"31, 32, 33, 34",30.55248224,-84.95852291,4/30/2019,4/30/2019,Broadcast,350,350,,Rural,"[""TNC""]",Florida,Low
Bibb County Glades,8.1,33.03443971,-87.02311719,5/1/2019,5/1/2019,Broadcast,40,40,,Rural,"[""TNC""]",Alabama,Low
Tiger Creek Preserve,Central Highlands Unit 8,27.82560395,-81.46053041,5/1/2019,5/1/2019,Broadcast,103,103,,Rural,"[""TNC""]",Florida,Low
Platte River Prairies,Martin,40.7750939,-98.50395256,5/2/2019,5/2/2019,Broadcast,22,22,,Rural,"[""TNC""]",Nebraska,Low
Broken Kettle Grasslands,Ports Triangle,42.70747828,-96.54302973,5/2/2019,5/2/2019,Broadcast,74,74,,Rural,"[""TNC""]",Iowa,Medium
Davis Ranch,NE Salt Lake,47.3386,-100.2747,5/2/2019,5/2/2019,Broadcast,105,105,,Rural,"[""TNC""]",North Dakota,Medium
Broken Kettle Grasslands,MCarthy Combined,42.71162376,-96.55722274,5/2/2019,5/2/2019,Broadcast,517,517,,Rural,"[""TNC""]",Iowa,Medium
Pigeon Point,Riverbend Restoration,46.49781548,-97.39418546,5/3/2019,5/3/2019,Broadcast,14,14,,Rural,"[""TNC""]",North Dakota,Low
Cross Ranch,S. West Pasture,47.2307,-101.0599,5/3/2019,5/3/2019,Broadcast,100,100,,Rural,"[""TNC""]",North Dakota,Medium
Broken Kettle Grasslands,Bison Trap,42.71783704,-96.58068394,5/3/2019,5/3/2019,Broadcast,125,125,,Rural,"[""TNC""]",Iowa,Medium
Paw Paw Prairie Fen Preserve,Paw Paw Fen,42.17472984,-85.77046121,5/4/2019,5/4/2019,Broadcast,65,65,,Rural,"[""TNC""]",Michigan,Medium
"Sheyenne Delta Ranger District, USFS",Evanson 6,46.49125673,-97.43023435,5/4/2019,5/4/2019,Broadcast,157,157,,Rural,"[""TNC"",""Government Agency""]",North Dakota,Medium
Agassiz Dunes,Strem North 1,47.52,-96.304,5/5/2019,5/5/2019,Broadcast,6,6,,Rural,"[""TNC""]",Minnesota,Low
East Branch Prairie,"Van Andel, Little Bluestem",42.18849178,-85.81251592,5/5/2019,5/5/2019,Broadcast,35,35,,Rural,"[""TNC""]",Michigan,Medium
Agassiz Dunes,Strem North 2,47.52,-96.304,5/5/2019,5/5/2019,Broadcast,38,38,,Rural,"[""TNC""]",Minnesota,Low
Tefft Savanna,NIPSCO Savanna Unit 3,41.23367716,-87.02817449,5/5/2019,5/5/2019,Broadcast,126,100,"[""Private""]",Rural,"[""TNC""]",Indiana,Low
Davis Ranch,4-May,47.368,-100.2827,5/5/2019,5/5/2019,Broadcast,160,160,,Rural,"[""TNC""]",North Dakota,Medium
Ordway Prairie,Northeast,45.4401,-95.2398,5/5/2019,5/5/2019,Broadcast,193,166,"[""Private""]",Rural,"[""TNC""]",Minnesota,Low
Ives Road Fen Preserve,Central Fen,41.97454507,-83.94381786,5/6/2019,5/6/2019,Broadcast,20,20,,Rural,"[""TNC""]",Michigan,Medium
Town Hall Prairie,Town Hall West,46.4149,-96.3404,5/6/2019,5/6/2019,Broadcast,113,113,,Rural,"[""TNC""]",Minnesota,Low
Bluestem Prairie,Williams 36W,46.8119,-96.4262,5/6/2019,5/6/2019,Broadcast,160,160,,Rural,"[""TNC""]",Minnesota,Low
Splinter Hill Bog,"4A,C,D, 5A",31.0095538,-87.70178044,5/6/2019,5/6/2019,Broadcast,250,233,"[""Private""]",Rural,"[""TNC""]",Alabama,Low
Leif Mountains,Central,45.3953,-95.1533,5/6/2019,5/6/2019,Broadcast,319,234,"[""Federal Government"",""Private""]",Rural,"[""TNC""]",Minnesota,Low
Flint Rock Preserve,Unit 12,30.19013331,-84.16248048,5/6/2019,5/6/2019,Broadcast,570,570,,Rural,"[""TNC""]",Florida,Low
Niobrara Valley Preserve,Hazel Creek,42.75269966,-99.93978621,5/6/2019,5/6/2019,Broadcast,753,580,"[""Private""]",Rural,"[""TNC""]",Nebraska,Medium
Brown Ranch,TNC 4 NW,46.3602709,-97.3621277,5/7/2019,5/7/2019,Broadcast,34,34,,Rural,"[""TNC""]",North Dakota,Low
Brown Ranch,TNC 28 NW,46.3959179,-97.36148396,5/7/2019,5/7/2019,Broadcast,80,80,,Rural,"[""TNC""]",North Dakota,Medium
Leif Mountains,North Modified,45.4024,-95.1627,5/7/2019,5/7/2019,Broadcast,102,102,,Rural,"[""TNC""]",Minnesota,Low
Miller Prairie,West-East,45.7703,-96.3209,5/7/2019,5/7/2019,Broadcast,129,129,,Rural,"[""TNC""]",Minnesota,Low
Brown Ranch,TNC 9,46.35203681,-97.35950986,5/7/2019,5/7/2019,Broadcast,160,160,,Rural,"[""TNC""]",North Dakota,Medium
Davis Ranch,1-Jul,47.3804,-100.3041,5/7/2019,5/7/2019,Broadcast,190,190,,Rural,"[""TNC""]",North Dakota,Medium
Disney Wilderness Preserve,"Pine Island, HU12 East",28.03278157,-81.40199389,5/7/2019,5/7/2019,Broadcast,350,350,,Rural,"[""TNC""]",Florida,Low
Lake Johanna Esker,Quam,45.4362,-95.2084,5/8/2019,5/8/2019,Broadcast,84,84,,Rural,"[""TNC""]",Minnesota,Low
Piney Grove,17/18/19,36.97191859,-77.08705628,5/8/2019,5/8/2019,Broadcast,115,115,,Rural,"[""TNC""]",Virginia,Medium
Beaches Lake WMA,Big Beaches,48.8319,-96.514,5/8/2019,5/8/2019,Broadcast,"5,048",160,"[""State/Local Government""]",Rural,"[""Government Agency""]",Minnesota,Low
Juniper,Central Juniper South,32.51141318,-84.5925596,5/8/2019,5/8/2019,Broadcast,369,369,,Rural,"[""TNC""]",Georgia,Medium
Moody Forest National Area,Pollinator demo plot 7,31.91097861,-82.31049326,5/9/2019,5/9/2019,Broadcast,7,7,,Rural,"[""TNC""]",Georgia,Medium
Apalachicola Bluffs and Ravines Preserve,15-20,30.55168256,-84.96207928,5/9/2019,5/9/2019,Broadcast,150,150,,Rural,"[""TNC""]",Florida,Low
Nassawango Creek Preserve,"U13, 109, 110, 14, 10c",38.280688,-75.456435,5/9/2019,5/9/2019,Broadcast,170,170,,Rural,"[""TNC""]",Maryland,Medium
Ordway Prairie ,S3B,45.6687757,-99.15170291,5/9/2019,5/9/2019,Broadcast,220,220,,Rural,"[""TNC""]",South Dakota,Low
Broken Kettle Grasslands,5 Acre,42.69511394,-96.57240355,5/10/2019,5/10/2019,Broadcast,5,5,,Rural,"[""TNC""]",Iowa,Medium
Foxhome Prairie,South,46.3201,-96.285,5/10/2019,5/10/2019,Broadcast,80,80,,Rural,"[""TNC""]",Minnesota,Low
Baldy Mountain Forest Reserve,Little Fish Creek Ridge 1,46.92130301,-113.3775789,5/10/2019,5/10/2019,Broadcast,84,84,,Rural,"[""TNC""]",Montana,Medium
Ordway Prairie,Knutson,45.4294,-95.2531,5/11/2019,5/11/2019,Broadcast,38,38,,Rural,"[""TNC""]",Minnesota,Low
Brown Ranch,TNC 5 South,46.35671677,-97.36955205,5/13/2019,5/13/2019,Broadcast,85,85,,Rural,"[""TNC""]",North Dakota,Medium
Agassiz Dunes,Southwest,47.5082,-96.2924,5/13/2019,5/13/2019,Broadcast,130,130,,Rural,"[""TNC""]",Minnesota,Low
Agassiz Dunes,Strem,47.5082,-96.2924,5/13/2019,5/13/2019,Broadcast,160,160,,Rural,"[""TNC""]",Minnesota,Low
Davis Ranch,8NW1,47.4107,-100.3048,5/13/2019,5/13/2019,Broadcast,170,170,,Rural,"[""TNC""]",North Dakota,Medium
Caribou WMA,South Pastures,48.9397,-96.4905,5/13/2019,5/13/2019,Broadcast,"2,546","1,056","[""State/Local Government"",""Private""]",Rural,"[""TNC""]",Minnesota,Low
Charles Harrold,1,32.41936969,-82.0326489,5/14/2019,5/14/2019,Broadcast,34,34,,Rural,"[""TNC""]",Georgia,Medium
Agassiz Dunes,Strem,47.5082,-96.2924,5/14/2019,5/14/2019,Broadcast,40,40,,Rural,"[""TNC""]",Minnesota,Low
Ottawa Bluffs,Central & East,44.3647,-93.9335,5/14/2019,5/14/2019,Broadcast,46,46,,Rural,"[""TNC""]",Minnesota,Low
Juniper,Oakland Farm Pastures,32.5180579,-84.61384561,5/14/2019,5/14/2019,Broadcast,59,59,,Rural,"[""TNC""]",Georgia,Medium
Brown Ranch,TNC 3 East,46.35796076,-97.32556355,5/14/2019,5/14/2019,Broadcast,60,60,,Rural,"[""TNC""]",North Dakota,Medium
Lake Ramsay,"WMA3,4e and TNC 4",30.51582444,-90.16309841,5/14/2019,5/14/2019,Broadcast,211,125,"[""State/Local Government""]",Rural,"[""TNC""]",Louisiana,Low
Davis Ranch,8NE2,47.4142,-100.291,5/14/2019,5/14/2019,Broadcast,130,130,,Rural,"[""TNC""]",North Dakota,Medium
Apalachicola Bluffs and Ravines Preserve,"40, 48",30.54407801,-84.97181351,5/14/2019,5/14/2019,Broadcast,150,150,,Rural,"[""TNC""]",Florida,Low
Fort Perry Black Creek,C14,32.53356999,-84.50398233,5/14/2019,5/14/2019,Broadcast,182,182,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,Unit 21 North,28.06732301,-81.39787402,5/15/2019,5/15/2019,Broadcast,150,150,,Rural,"[""TNC""]",Florida,Low
Moody Forest National Area,"4, 5",31.92013083,-82.3002747,5/15/2019,5/15/2019,Broadcast,615,390,"[""State/Local Government""]",Rural,"[""TNC""]",Georgia,Medium
Chippewa Prairie,"Chippewa 4,5,6",45.15045692,-96.01095686,5/15/2019,5/15/2019,Broadcast,910,605,"[""State/Local Government""]",Rural,"[""TNC""]",Minnesota,Medium
Moody Forest National Area,7 (powerline Henslow Sparrow),31.92540358,-82.30414179,5/16/2019,5/16/2019,Broadcast,4,4,,Rural,"[""TNC""]",Georgia,Medium
Freda Haffner Kettlehole,SE Unit,43.34707189,-95.21977628,5/16/2019,5/16/2019,Broadcast,9,9,,Rural,"[""TNC""]",Iowa,Medium
Altamont Prairie,Altamont North Half,44.88915618,-96.53308689,5/16/2019,5/16/2019,Broadcast,30,30,,Rural,"[""TNC""]",South Dakota,Low
Kitty Todd Preserve,Junegrass_Moseleysavannasouth/Central,41.60615142,-83.80802834,5/16/2019,5/16/2019,Broadcast,60,60,,Urban,"[""TNC""]",Ohio,Medium
Cross Ranch,NW Gaines,47.2164,-101.0252,5/16/2019,5/16/2019,Broadcast,100,100,,Rural,"[""TNC""]",North Dakota,Low
Western Prairie,South,46.517577,-96.420002,5/16/2019,5/16/2019,Broadcast,107,107,,Rural,"[""TNC""]",Minnesota,Low
Twin Valley Prairie,Nothwest,47.0333,-96.296,5/17/2019,5/17/2019,Broadcast,20,20,,Rural,"[""TNC""]",Minnesota,Low
Hatchineaha Ranch,"Units 26, 33",28.00580727,-81.46284783,5/17/2019,5/17/2019,Broadcast,297,297,,Rural,"[""Contractor""]",Florida,Low
Norway Dunes,Norway Dunes SE,48.6897,-96.5667,5/20/2019,5/20/2019,Broadcast,31,31,,Rural,"[""TNC""]",Minnesota,Low
Ashland TREX - Hoffman Private Land,Unit 8,42.189644,-122.75337,5/20/2019,5/20/2019,Non-broadcast,,,,Urban,"[""TNC""]",Oregon,Low
Agassiz Dunes,Central Savanna,47.5056,-96.3098,5/21/2019,5/21/2019,Broadcast,44,44,,Rural,"[""TNC""]",Minnesota,Low
Lake Johanna Esker,Southeast,45.428,-95.1974,5/21/2019,5/21/2019,Broadcast,51,49,"[""Private""]",Rural,"[""TNC""]",Minnesota,Low
Piney Grove,Chinqapin Ellis,36.97356432,-77.08499635,5/21/2019,5/21/2019,Broadcast,94,94,,Rural,"[""TNC""]",Virginia,Medium
Talisheek / Dolly T,"T1 and WBU 1,4",30.56372717,-89.92345913,5/21/2019,5/21/2019,Broadcast,"1,103",500,,Rural,"[""TNC""]",Louisiana,Low
Disney Wilderness Preserve,"HU7, Lakefront West",28.06222328,-81.42820085,5/21/2019,5/21/2019,Broadcast,750,750,,Rural,"[""TNC""]",Florida,Low
Albany Pine Bush Preserve,"Flicker, Fowlers, Schnoz, Huckleberry Mound, Backstop",42.71878313,-73.86363327,5/22/2019,5/22/2019,Broadcast,53.2,11.2,"[""State/Local Government"",""Private""]",Urban,"[""Other (NGO partner, Fire Department etc)""]",New York,Medium
Mazar Property (Grassland and Savannah),Mazar Property,41.37508081,-70.55301788,5/22/2019,5/22/2019,Broadcast,24,24,,Rural,"[""Contractor""]",Massachusetts,High
Felsenthal Preserve,Mill Site Central South,33.04153182,-92.1578181,5/22/2019,5/22/2019,Broadcast,165,165,,Rural,"[""TNC""]",Arkansas,Medium
Disney Wilderness Preserve,Supermarsh,28.04672065,-81.40963281,5/22/2019,5/22/2019,Broadcast,850,850,,Rural,"[""TNC""]",Florida,Low
Freda Haffner Kettlehole,SE Unit,43.34307708,-95.22039855,5/23/2019,5/23/2019,Broadcast,14,14,,Rural,"[""TNC""]",Iowa,Medium
Felsenthal Preserve,Mill Site Central North,33.04820421,-92.15918773,5/23/2019,5/23/2019,Broadcast,200,200,,Rural,"[""TNC""]",Arkansas,Medium
Land of the Swamp White Oak,Office Burn Pile,41.41522063,-91.25218955,5/23/2019,5/23/2019,Non-broadcast,,,,Rural,"[""TNC""]",Iowa,Low
Roseau River WMA,Whitney,48.9168,-96.1675,5/28/2019,5/28/2019,Broadcast,"2,273",40,,Rural,"[""TNC""]",Minnesota,Low
Red Creek,"RC 9E,7",30.71245772,-88.72775132,5/28/2019,5/28/2019,Broadcast,333,333,,Rural,"[""TNC""]",Mississippi,Medium
Pigeon Point,Finger Prairie/ John Challey Prairie,46.4937976,-97.3940138,5/29/2019,5/29/2019,Broadcast,26,26,,Rural,"[""TNC""]",North Dakota,Medium
Pigeon Point,Van Horn- Carr Creek,46.49060672,-97.40294019,5/29/2019,5/29/2019,Broadcast,33,33,,Rural,"[""TNC""]",North Dakota,Medium
Schaefer Prairie,North,44.7229,-94.2993,5/30/2019,5/30/2019,Broadcast,85,85,,Rural,"[""TNC""]",Minnesota,Low
Bluestem Prairie,BP12,46.83,-96.46,5/30/2019,5/30/2019,Broadcast,166,166,,Rural,"[""TNC""]",Minnesota,Low
Plover Prairie,Plover Hanson East ,45.19954603,-96.27122769,5/31/2019,5/31/2019,Broadcast,40,40,,Rural,"[""TNC""]",Minnesota,Low
Town Hall Prairie,Northeast,46.4149,-96.3404,5/31/2019,5/31/2019,Broadcast,40,40,,Rural,"[""TNC""]",Minnesota,Low
Lake Alexander,Bass Lake,46.1816,-94.5272,5/31/2019,5/31/2019,Broadcast,78,78,,Rural,"[""TNC""]",Minnesota,Low
Nassawango Creek Preserve,"U 87, U88",38.25959084,-75.47338309,5/31/2019,5/31/2019,Broadcast,220,220,,Rural,"[""TNC""]",Maryland,Medium
Bluestem Prairie,BP TU2,46.8471,-96.4741,6/1/2019,6/1/2019,Broadcast,3,3,,Rural,"[""TNC""]",Minnesota,Low
Sheepberry Fen,North 40,45.4434,-95.2931,6/2/2019,6/2/2019,Broadcast,42,33,"[""Private""]",Rural,"[""TNC""]",Minnesota,Low
WCDCWA,0950 Skull Lake West,48.9104,-96.6865,6/3/2019,6/3/2019,Broadcast,18,18,,Rural,"[""TNC""]",Minnesota,Low
Bluestem Prairie,BP10,46.83,-96.47,6/3/2019,6/3/2019,Broadcast,225,225,,Rural,"[""TNC""]",Minnesota,Low
Regal Meadow,SW Resto,45.3756,-94.8429,6/4/2019,6/4/2019,Broadcast,132,132,,Rural,"[""TNC""]",Minnesota,Low
Lake Johanna Esker,Blackowiak,45.4437,-95.2085,6/8/2019,6/8/2019,Broadcast,82,82,,Rural,"[""TNC""]",Minnesota,Low
Dye Creek Preserve,Foothill Entrance,40.11054024,-122.060918,6/10/2019,6/10/2019,Broadcast,60,60,,Rural,"[""Government Agency""]",California,Low
Sweet Bay Bogs,"SBB 1,2,3",30.82434515,-89.28646105,6/10/2019,6/10/2019,Broadcast,179,179,,Rural,"[""TNC""]",Mississippi,Low
Vina Plains Preserve,Rowles,39.90949242,-122.023136,6/10/2019,6/11/2019,Broadcast,700,700,,Rural,"[""Government Agency""]",California,Low
Dye Creek Preserve,Canal Uplands,40.14414144,-122.0629779,6/10/2019,6/12/2019,Broadcast,"1,180","1,180",,Rural,"[""Government Agency""]",California,Medium
Bibb County Glades,Unit 2,33.06177858,-87.03599179,6/12/2019,6/12/2019,Broadcast,62,62,,Rural,"[""TNC""]",Alabama,Low
Apalachicola Bluffs and Ravines Preserve,48,30.55638555,-84.95938981,6/24/2019,6/24/2019,Broadcast,3,3,,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,"Airstrip, Airstrip Scrub, Stumpfield Triangle",28.05924411,-81.40565599,6/26/2019,6/26/2019,Broadcast,450,450,,Rural,"[""TNC""]",Florida,Low
Juniper,Oakland Farm Pastures,32.51400485,-84.60354593,6/28/2019,6/28/2019,Broadcast,42,42,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,Dorm North,28.10932344,-81.4318058,7/2/2019,7/2/2019,Broadcast,20,20,,Urban,"[""TNC""]",Florida,Low
Albany Pine Bush Preserve,Chubb,42.71846783,-73.86363327,7/10/2019,7/10/2019,Broadcast,37.9,8.2,,Urban,"[""Other (NGO partner, Fire Department etc)""]",New York,Medium
Disney Wilderness Preserve,Unit 21 South,28.0534876,-81.38934819,7/11/2019,7/11/2019,Broadcast,850,850,,Rural,"[""TNC""]",Florida,Low
Tiger Creek Preserve,Central Highlands Unit 4,27.82661605,-81.47689547,7/17/2019,7/17/2019,Broadcast,20,20,,Rural,"[""TNC""]",Florida,Low
Rattlesnake Ridge Natural Area,Herbicide Area,34.8386387,-92.52092483,7/25/2019,7/25/2019,Broadcast,1,1,,Urban,"[""TNC""]",Arkansas,Medium
Lake Johanna Esker,Sumac 7 & 9,45.4404,-95.2106,7/30/2019,7/30/2019,Broadcast,12,12,,Rural,"[""TNC""]",Minnesota,Low
Ordway Prairie,Sumac 1,45.4309,-95.2357,8/6/2019,8/6/2019,Broadcast,1,1,,Rural,"[""TNC""]",Minnesota,Low
Broken Kettle Grasslands,Powerline Unit,42.69652011,-96.54895172,8/6/2019,8/6/2019,Broadcast,3,3,,Rural,"[""TNC""]",Iowa,Medium
Ordway Prairie,Blackline,45.44109,-95.2516,8/6/2019,8/6/2019,Broadcast,5,5,,Rural,"[""TNC""]",Minnesota,Low
Columbus Prairie,South,33.78900735,-93.81437659,8/6/2019,8/6/2019,Broadcast,42,42,,Rural,"[""TNC""]",Arkansas,Medium
Plover Prairie,Plover Hanson Restorations,45.19807938,-96.28174195,8/7/2019,8/7/2019,Broadcast,38,38,,Rural,"[""TNC""]",Minnesota,Low
Lake Johanna Esker,Grundseth Blackline,45.4509,-95.205,8/8/2019,8/8/2019,Broadcast,1,1,,Rural,"[""TNC""]",Minnesota,Low
Prairie Ridge Preserve,Southwest (Shutdown),34.10044606,-93.16955911,8/8/2019,8/8/2019,Broadcast,5,5,,Rural,"[""TNC""]",Arkansas,Medium
Ottawa Bluffs,West,44.3665,-93.936,8/9/2019,8/9/2019,Broadcast,7,7,,Rural,"[""TNC""]",Minnesota,Low
Piney Grove,38 Pocket,36.97959835,-77.06491197,8/12/2019,8/12/2019,Broadcast,5.5,5.5,,Rural,"[""TNC""]",Virginia,Medium
Poison Springs ,Railroad South,33.68665608,-92.99563291,8/12/2019,8/12/2019,Broadcast,74,74,,Rural,"[""TNC""]",Arkansas,Medium
Nash Prairie,Mowotony Prairie unit,29.27494733,-95.71528847,8/12/2019,8/12/2019,Broadcast,80,80,,Rural,"[""TNC""]",Texas,Medium
Mad Island Preserve,Unit 6,28.67204429,-96.08304525,8/13/2019,8/13/2019,Broadcast,980,980,,Rural,"[""TNC""]",Texas,Medium
Leif Mountains,North Modified,45.4015,-95.162,8/14/2019,8/14/2019,Broadcast,50,50,,Rural,"[""TNC""]",Minnesota,Low
Ossipee Pine Barrens,Thicket 6,43.83071348,-71.17611979,8/15/2019,8/15/2019,Broadcast,15,15,,Rural,"[""TNC""]",New Hampshire,Medium
Tallgrass Prairie Preserve,Chicken Hill North,36.788859,-96.387782,8/15/2019,8/15/2019,Broadcast,"1,244","1,244",,Rural,"[""TNC""]",Oklahoma,Low
Green Swamp,Central B,34.0825,-78.3003,8/19/2019,8/19/2019,Broadcast,2,2,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,Central B,34.0825,-78.3003,8/19/2019,8/19/2019,Broadcast,2,2,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,Little Island,34.0825,-78.3003,8/19/2019,8/19/2019,Broadcast,30,30,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,Little Island,34.0825,-78.3003,8/19/2019,8/19/2019,Broadcast,30,30,,Rural,"[""TNC""]",North Carolina,Medium
Clarendon,North Unit,34.158,-77.9777,8/20/2019,8/20/2019,Broadcast,16,16,,Rural,"[""TNC""]",North Carolina,Medium
Clarendon,North Unit,34.158,-77.9777,8/20/2019,8/20/2019,Broadcast,16,16,,Rural,"[""TNC""]",North Carolina,Medium
Mad Island Preserve,Unit 4/5,28.64796301,-96.08260887,8/20/2019,8/20/2019,Broadcast,650,650,,Rural,"[""TNC""]",Texas,Medium
Weaver Dunes,Blackline,44.2593,-91.927,8/21/2019,8/23/2019,Broadcast,5,5,,Rural,"[""TNC""]",Minnesota,Low
Myrtle Head,Myrtle Head,34.1389,-78.5002,8/21/2019,8/21/2019,Broadcast,39,39,,Rural,"[""TNC""]",North Carolina,Medium
Myrtle Head,Myrtle Head,34.1389,-78.5002,8/21/2019,8/21/2019,Broadcast,39,39,,Rural,"[""TNC""]",North Carolina,Medium
Mad Island Preserve,Unit 9,28.68871824,-96.0826751,8/21/2019,8/21/2019,Broadcast,43,43,,Rural,"[""TNC""]",Texas,Medium
Nash Prairie Preserve,Nash,29.25423558,-95.60291362,8/22/2019,8/22/2019,Broadcast,229,229,,Rural,"[""TNC""]",Texas,Medium
Green Swamp,Meyers Clemmons,34.067703,-78.269248,8/22/2019,8/22/2019,Broadcast,390,390,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,Meyers Clemmons,34.067703,-78.269248,8/22/2019,8/22/2019,Broadcast,390,390,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,Clemmons B,34.067703,-78.269248,8/23/2019,8/23/2019,Broadcast,3,3,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,Clemmons B,34.067703,-78.269248,8/23/2019,8/23/2019,Broadcast,3,3,,Rural,"[""TNC""]",North Carolina,Medium
Ossipee Pine Barrens,Zito 1,43.81648131,-71.17592457,8/27/2019,8/27/2019,Broadcast,15,15,,Rural,"[""TNC""]",New Hampshire,Medium
Ranch North Woods,NE Field,34.8161455,-92.45393397,8/29/2019,8/29/2019,Broadcast,8,8,,Urban,"[""TNC""]",Arkansas,Medium
Tallgrass Prairie Preserve,Hubble,36.760568,-96.372678,8/29/2019,8/29/2019,Broadcast,707,707,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie National Preserve TNC,BLT,38.40537213,-96.55242646,8/29/2019,8/29/2019,Broadcast,800,800,,Rural,"[""Government Agency""]",Kansas,Low
Miller County Sand Hills,East,33.1925794,-94.03086903,8/31/2019,8/31/2019,Broadcast,96,35,"[""State/Local Government""]",Rural,"[""TNC""]",Arkansas,Medium
Tallgrass Prairie Preserve,East Borrum Sand Creek,36.857587,-96.453439,9/3/2019,9/3/2019,Broadcast,560,49,"[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Roscoe Prairie,Blackline,45.4187,-94.6794,9/4/2019,9/4/2019,Broadcast,1,1,,Rural,"[""TNC""]",Minnesota,Low
Regal Meadow,Blackline,45.3776,-94.8321,9/4/2019,9/4/2019,Broadcast,4,4,,Rural,"[""TNC""]",Minnesota,Low
Sheepberry Fen,East Blackline,45.4373,-95.292,9/6/2019,9/6/2019,Broadcast,31,31,,Rural,"[""TNC""]",Minnesota,Low
Wells Barrens Preserve,5C,43.38561593,-70.63267434,9/10/2019,9/12/2019,Broadcast,22,22,,Rural,"[""TNC""]",Maine,Low
Tallgrass Prairie Preserve,Middle John Lee,36.839023,-96.355699,9/10/2019,9/10/2019,Broadcast,366,366,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,West Stish,36.868234,-96.379205,9/10/2019,9/10/2019,Broadcast,596,596,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,East Stish,36.868332,-96.34685,9/11/2019,9/11/2019,Broadcast,951,939,"[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Felsenthal Preserve,Southeast,33.03573967,-92.14773299,9/14/2019,9/14/2019,Broadcast,132,132,,Rural,"[""TNC""]",Arkansas,Medium
Felsenthal Preserve,Mill Site Southcentral ,33.03589125,-92.15712325,9/15/2019,9/15/2019,Broadcast,137,137,,Rural,"[""TNC""]",Arkansas,Medium
Felsenthal Preserve,Mill Site Retention Pond,33.04149585,-92.14740639,9/15/2019,9/15/2019,Broadcast,150,150,,Rural,"[""TNC""]",Arkansas,Medium
Tallgrass Prairie Preserve,Colt Trap,36.848184,-96.417425,9/18/2019,9/18/2019,Broadcast,56,56,,Rural,"[""TNC""]",Oklahoma,Low
